src_ip,dst_ip,proto
192.168.56.85,57.144.213.32,TCP
57.144.213.32,192.168.56.85,TCP
13.107.213.58,192.168.56.85,TCP
192.168.56.85,13.107.213.58,TCP
192.168.56.85,8.8.8.8,UDP
8.8.8.8,192.168.56.85,UDP
192.168.56.85,34.36.137.203,TCP
34.36.137.203,192.168.56.85,TCP
192.168.56.13,224.0.0.251,UDP
192.168.56.85,3.233.158.26,TCP
3.233.158.26,192.168.56.85,TCP
192.168.56.85,151.101.129.91,TCP
151.101.129.91,192.168.56.85,TCP
